"功能分類","資料表","資料表名稱","欄位","欄位名稱"
"發票物流與售後","after_sales_requests","售後申請","request_type","申請類型"
"發票物流與售後","after_sales_requests","售後申請","status","狀態"
"發票物流與售後","after_sales_requests","售後申請","updated_at","更新時間"
"發票物流與售後","after_sales_requests","售後申請","user_id","會員 ID"
"AI 與客服","ai_chat_logs","AI 聊天紀錄","created_at","建立時間"
"AI 與客服","ai_chat_logs","AI 聊天紀錄","id","資料 ID"
"AI 與客服","ai_chat_logs","AI 聊天紀錄","member_id","會員 ID"
"AI 與客服","ai_chat_logs","AI 聊天紀錄","message","訊息內容"
"AI 與客服","ai_chat_logs","AI 聊天紀錄","response","回覆內容"
"AI 與客服","ai_chat_logs","AI 聊天紀錄","session_id","會話 ID"
"AI 與客服","ai_chat_logs","AI 聊天紀錄","tokens_used","使用 Token 數"
"AI 與客服","ai_learning_logs","AI 學習紀錄","answer","答案"
"AI 與客服","ai_learning_logs","AI 學習紀錄","confidence_score","信心分數"
"AI 與客服","ai_learning_logs","AI 學習紀錄","created_at","建立時間"
"AI 與客服","ai_learning_logs","AI 學習紀錄","id","資料 ID"
"AI 與客服","ai_learning_logs","AI 學習紀錄","knowledge_id","知識庫 ID"
"AI 與客服","ai_learning_logs","AI 學習紀錄","question","問題"
"AI 與客服","ai_learning_logs","AI 學習紀錄","was_helpful","是否有幫助"
"AI 與客服","ai_support_documents","AI 客服向量文件","content","內容"
"AI 與客服","ai_support_documents","AI 客服向量文件","content_hash","內容雜湊"
"AI 與客服","ai_support_documents","AI 客服向量文件","created_at","建立時間"
"AI 與客服","ai_support_documents","AI 客服向量文件","embedded_at","向量建立時間"
"AI 與客服","ai_support_documents","AI 客服向量文件","embedding","向量資料"
"AI 與客服","ai_support_documents","AI 客服向量文件","embedding_model","向量模型"
"AI 與客服","ai_support_documents","AI 客服向量文件","id","資料 ID"
"AI 與客服","ai_support_documents","AI 客服向量文件","is_active","是否啟用"
"AI 與客服","ai_support_documents","AI 客服向量文件","metadata","中繼資料"
"AI 與客服","ai_support_documents","AI 客服向量文件","source_id","來源 ID"
"AI 與客服","ai_support_documents","AI 客服向量文件","source_type","來源類型"
"AI 與客服","ai_support_documents","AI 客服向量文件","title","標題"
"AI 與客服","ai_support_documents","AI 客服向量文件","updated_at","更新時間"
"AI 與客服","ai_support_documents","AI 客服向量文件","url_path","頁面路徑"
"AI 與客服","ai_usage_stats","AI 使用統計","avg_response_time","平均回應時間"
"AI 與客服","ai_usage_stats","AI 使用統計","created_at","建立時間"
"AI 與客服","ai_usage_stats","AI 使用統計","date","日期"
"AI 與客服","ai_usage_stats","AI 使用統計","id","資料 ID"
"AI 與客服","ai_usage_stats","AI 使用統計","total_requests","總請求數"
"AI 與客服","ai_usage_stats","AI 使用統計","total_tokens","總 Token 數"
"內容網站設定","articles","舊版文章","author_id","作者 ID"
"內容網站設定","articles","舊版文章","content","內容"
"內容網站設定","articles","舊版文章","created_at","建立時間"
"內容網站設定","articles","舊版文章","excerpt","摘要"
"內容網站設定","articles","舊版文章","featured_image","精選圖片"
"內容網站設定","articles","舊版文章","id","資料 ID"
"內容網站設定","articles","舊版文章","published_at","發布時間"
"內容網站設定","articles","舊版文章","slug","網址代稱"
"內容網站設定","articles","舊版文章","status","狀態"
"內容網站設定","articles","舊版文章","title","標題"
"內容網站設定","articles","舊版文章","updated_at","更新時間"
"內容網站設定","articles","舊版文章","views","瀏覽數"
"商品與商城","blog_categories","文章分類","created_at","建立時間"
"商品與商城","blog_categories","文章分類","description","描述"
"商品與商城","blog_categories","文章分類","display_order","顯示排序"
"商品與商城","blog_categories","文章分類","id","資料 ID"
"商品與商城","blog_categories","文章分類","is_active","是否啟用"
"商品與商城","blog_categories","文章分類","name","名稱"
"商品與商城","blog_categories","文章分類","parent_id","上層分類 ID"
"商品與商城","blog_categories","文章分類","slug","網址代稱"
"商品與商城","blog_categories","文章分類","updated_at","更新時間"
"商品與商城","blog_post_category_links","文章分類關聯","category_id","分類 ID"
"商品與商城","blog_post_category_links","文章分類關聯","created_at","建立時間"
"商品與商城","blog_post_category_links","文章分類關聯","post_id","文章 ID"
"內容網站設定","blog_post_translations","文章翻譯","author_name","作者名稱"
"內容網站設定","blog_post_translations","文章翻譯","category","分類"
"內容網站設定","blog_post_translations","文章翻譯","content","內容"
"內容網站設定","blog_post_translations","文章翻譯","excerpt","摘要"
"內容網站設定","blog_post_translations","文章翻譯","id","資料 ID"
"內容網站設定","blog_post_translations","文章翻譯","is_ai_translated","是否 AI 翻譯"
"內容網站設定","blog_post_translations","文章翻譯","lang","語言"
"內容網站設定","blog_post_translations","文章翻譯","post_id","文章 ID"
"內容網站設定","blog_post_translations","文章翻譯","review_status","審核狀態"
"內容網站設定","blog_post_translations","文章翻譯","tags","標籤"
"內容網站設定","blog_post_translations","文章翻譯","title","標題"
"內容網站設定","blog_post_translations","文章翻譯","updated_at","更新時間"
"內容網站設定","blog_posts","部落格文章","author_name","作者名稱"
"內容網站設定","blog_posts","部落格文章","category","分類"
"內容網站設定","blog_posts","部落格文章","content","內容"
"內容網站設定","blog_posts","部落格文章","cover_image_url","封面圖片網址"
"內容網站設定","blog_posts","部落格文章","created_at","建立時間"
"內容網站設定","blog_posts","部落格文章","excerpt","摘要"
"內容網站設定","blog_posts","部落格文章","id","資料 ID"
"內容網站設定","blog_posts","部落格文章","meta_description","SEO 描述"
"內容網站設定","blog_posts","部落格文章","published_at","發布時間"
"內容網站設定","blog_posts","部落格文章","slug","網址代稱"
"內容網站設定","blog_posts","部落格文章","status","狀態"
"內容網站設定","blog_posts","部落格文章","tags","標籤"
"內容網站設定","blog_posts","部落格文章","title","標題"
"內容網站設定","blog_posts","部落格文章","updated_at","更新時間"
"內容網站設定","blog_posts","部落格文章","vendor_id","廠商 ID"
"商品與商城","categories","商品分類","created_at","建立時間"
"商品與商城","categories","商品分類","description","描述"
"商品與商城","categories","商品分類","id","資料 ID"
"商品與商城","categories","商品分類","is_active","是否啟用"
"商品與商城","categories","商品分類","name","名稱"
"商品與商城","categories","商品分類","parent_id","上層分類 ID"
"商品與商城","categories","商品分類","slug","網址代稱"
"商品與商城","categories","商品分類","sort_order","排序"
"商品與商城","categories","商品分類","updated_at","更新時間"
"商品與商城","category_translations","分類翻譯","category_id","分類 ID"
"商品與商城","category_translations","分類翻譯","id","資料 ID"
"商品與商城","category_translations","分類翻譯","is_ai_translated","是否 AI 翻譯"
"商品與商城","category_translations","分類翻譯","lang","語言"
"商品與商城","category_translations","分類翻譯","name","名稱"
"商品與商城","category_translations","分類翻譯","review_status","審核狀態"
"商品與商城","category_translations","分類翻譯","updated_at","更新時間"
"AI 與客服","chat_feedback","客服回饋","created_at","建立時間"
"AI 與客服","chat_feedback","客服回饋","feedback_text","回饋文字"
"AI 與客服","chat_feedback","客服回饋","id","資料 ID"
"AI 與客服","chat_feedback","客服回饋","message_id","訊息 ID"
"AI 與客服","chat_feedback","客服回饋","rating","評分"
"AI 與客服","chat_feedback","客服回饋","session_id","會話 ID"
"AI 與客服","chat_messages","客服訊息","created_at","建立時間"
"AI 與客服","chat_messages","客服訊息","id","資料 ID"
"AI 與客服","chat_messages","客服訊息","message","訊息內容"
"AI 與客服","chat_messages","客服訊息","sender_type","發送者類型"
"AI 與客服","chat_messages","客服訊息","session_id","會話 ID"
"AI 與客服","chat_sessions","客服會話","created_at","建立時間"
"AI 與客服","chat_sessions","客服會話","id","資料 ID"
"AI 與客服","chat_sessions","客服會話","status","狀態"
"AI 與客服","chat_sessions","客服會話","updated_at","更新時間"
"AI 與客服","chat_sessions","客服會話","visitor_email","訪客 Email"
"AI 與客服","chat_sessions","客服會話","visitor_name","訪客姓名"
"AI 與客服","coffee_quiz_question_options","咖啡測驗選項","created_at","建立時間"
"AI 與客服","coffee_quiz_question_options","咖啡測驗選項","display_order","顯示排序"
"AI 與客服","coffee_quiz_question_options","咖啡測驗選項","id","資料 ID"
"AI 與客服","coffee_quiz_question_options","咖啡測驗選項","option_key","選項代號"
"AI 與客服","coffee_quiz_question_options","咖啡測驗選項","option_text","選項文字"
"AI 與客服","coffee_quiz_question_options","咖啡測驗選項","question_id","題目 ID"
"AI 與客服","coffee_quiz_question_options","咖啡測驗選項","score","分數"
"AI 與客服","coffee_quiz_question_options","咖啡測驗選項","updated_at","更新時間"
"AI 與客服","coffee_quiz_questions","咖啡測驗題目","created_at","建立時間"
"AI 與客服","coffee_quiz_questions","咖啡測驗題目","display_order","顯示排序"
"AI 與客服","coffee_quiz_questions","咖啡測驗題目","id","資料 ID"
"AI 與客服","coffee_quiz_questions","咖啡測驗題目","image_url","圖片網址"
"AI 與客服","coffee_quiz_questions","咖啡測驗題目","is_active","是否啟用"
"AI 與客服","coffee_quiz_questions","咖啡測驗題目","question_text","題目文字"
"AI 與客服","coffee_quiz_questions","咖啡測驗題目","updated_at","更新時間"
"AI 與客服","coffee_quiz_submissions","咖啡測驗送出紀錄","acidity_score","酸質分數"
"AI 與客服","coffee_quiz_submissions","咖啡測驗送出紀錄","adventure_score","冒險分數"
"AI 與客服","coffee_quiz_submissions","咖啡測驗送出紀錄","agreement","同意條款"
"AI 與客服","coffee_quiz_submissions","咖啡測驗送出紀錄","answers","作答內容"
"AI 與客服","coffee_quiz_submissions","咖啡測驗送出紀錄","created_at","建立時間"
"AI 與客服","coffee_quiz_submissions","咖啡測驗送出紀錄","id","資料 ID"
"AI 與客服","coffee_quiz_submissions","咖啡測驗送出紀錄","member_email","會員 Email"
"AI 與客服","coffee_quiz_submissions","咖啡測驗送出紀錄","member_name","會員姓名"
"AI 與客服","coffee_quiz_submissions","咖啡測驗送出紀錄","member_phone","會員電話"
"AI 與客服","coffee_quiz_submissions","咖啡測驗送出紀錄","result_type","結果類型"
"AI 與客服","coffee_quiz_submissions","咖啡測驗送出紀錄","roast_score","烘焙分數"
"AI 與客服","coffee_quiz_submissions","咖啡測驗送出紀錄","user_id","會員 ID"
"內容網站設定","contact_inquiries","聯絡表單","created_at","建立時間"
"內容網站設定","contact_inquiries","聯絡表單","email","電子郵件"
"內容網站設定","contact_inquiries","聯絡表單","id","資料 ID"
"內容網站設定","contact_inquiries","聯絡表單","message","訊息內容"
"內容網站設定","contact_inquiries","聯絡表單","name","名稱"
"內容網站設定","contact_inquiries","聯絡表單","phone","電話"
"內容網站設定","contact_inquiries","聯絡表單","status","狀態"
"內容網站設定","contact_inquiries","聯絡表單","subject","主旨"
"多語翻譯","content_translations","內容翻譯","created_at","建立時間"
"多語翻譯","content_translations","內容翻譯","created_by","建立者"
"多語翻譯","content_translations","內容翻譯","entity_id","資料 ID"
"多語翻譯","content_translations","內容翻譯","entity_type","資料類型"
"多語翻譯","content_translations","內容翻譯","field_key","欄位鍵"
"多語翻譯","content_translations","內容翻譯","id","資料 ID"
"多語翻譯","content_translations","內容翻譯","is_manual","是否手動"
"多語翻譯","content_translations","內容翻譯","source_hash","來源雜湊"
"多語翻譯","content_translations","內容翻譯","source_text","來源文字"
"多語翻譯","content_translations","內容翻譯","target_lang","目標語言"
"多語翻譯","content_translations","內容翻譯","translated_text","翻譯文字"
"多語翻譯","content_translations","內容翻譯","updated_at","更新時間"
"內容網站設定","faqs","常見問題","answer","答案"
"內容網站設定","faqs","常見問題","category","分類"
"內容網站設定","faqs","常見問題","created_at","建立時間"
"內容網站設定","faqs","常見問題","id","資料 ID"
"內容網站設定","faqs","常見問題","is_active","是否啟用"
"內容網站設定","faqs","常見問題","is_published","是否發布"
"內容網站設定","faqs","常見問題","question","問題"
"內容網站設定","faqs","常見問題","sort_order","排序"
"內容網站設定","faqs","常見問題","updated_at","更新時間"
"內容網站設定","homepage_sections","首頁區塊","content","內容"
"內容網站設定","homepage_sections","首頁區塊","created_at","建立時間"
"內容網站設定","homepage_sections","首頁區塊","id","資料 ID"
"內容網站設定","homepage_sections","首頁區塊","is_active","是否啟用"
"內容網站設定","homepage_sections","首頁區塊","section_type","區塊類型"
"內容網站設定","homepage_sections","首頁區塊","sort_order","排序"
"內容網站設定","homepage_sections","首頁區塊","title","標題"
"內容網站設定","homepage_sections","首頁區塊","updated_at","更新時間"
"住宿訂房","hotels","旅宿","address","地址"
"住宿訂房","hotels","旅宿","checkin_time","入住時間"
"住宿訂房","hotels","旅宿","checkout_time","退房時間"
"住宿訂房","hotels","旅宿","city","縣市"
"住宿訂房","hotels","旅宿","created_at","建立時間"
"住宿訂房","hotels","旅宿","deposit_amount","押金"
"住宿訂房","hotels","旅宿","description","描述"
"住宿訂房","hotels","旅宿","email","電子郵件"
"住宿訂房","hotels","旅宿","facebook","Facebook"
"住宿訂房","hotels","旅宿","id","資料 ID"
"住宿訂房","hotels","旅宿","image_url","圖片網址"
"住宿訂房","hotels","旅宿","images","圖片列表"
"住宿訂房","hotels","旅宿","is_active","是否啟用"
"住宿訂房","hotels","旅宿","line_id","LINE ID"
"住宿訂房","hotels","旅宿","name","名稱"
"住宿訂房","hotels","旅宿","pet_friendly","是否寵物友善"
"住宿訂房","hotels","旅宿","phone","電話"
"住宿訂房","hotels","旅宿","registration_number","旅宿登記證號"
"住宿訂房","hotels","旅宿","star_rating","星等"
"住宿訂房","hotels","旅宿","updated_at","更新時間"
"住宿訂房","hotels","旅宿","vendor_id","廠商 ID"
"發票物流與售後","invoices","電子發票","buyer_email","買受人 Email"
"發票物流與售後","invoices","電子發票","buyer_identifier","買受人統編"
"發票物流與售後","invoices","電子發票","buyer_name","買受人姓名"
"發票物流與售後","invoices","電子發票","carrier_number","載具號碼"
"發票物流與售後","invoices","電子發票","carrier_type","載具類型"
"發票物流與售後","invoices","電子發票","created_at","建立時間"
"發票物流與售後","invoices","電子發票","error_message","錯誤訊息"
"發票物流與售後","invoices","電子發票","ezpay_raw_request","ezPay 原始請求"
"發票物流與售後","invoices","電子發票","ezpay_raw_response","ezPay 原始回應"
"發票物流與售後","invoices","電子發票","ezpay_trade_no","ezPay 交易序號"
"發票物流與售後","invoices","電子發票","id","資料 ID"
"發票物流與售後","invoices","電子發票","invoice_date","發票開立時間"
"發票物流與售後","invoices","電子發票","invoice_number","發票號碼"
"發票物流與售後","invoices","電子發票","invoice_random_number","發票隨機碼"
"發票物流與售後","invoices","電子發票","invoice_status","發票狀態"
"發票物流與售後","invoices","電子發票","love_code","愛心碼"
"發票物流與售後","invoices","電子發票","order_id","訂單 ID"
"發票物流與售後","invoices","電子發票","sales_amount","銷售額"
"發票物流與售後","invoices","電子發票","tax_amount","稅額"
"發票物流與售後","invoices","電子發票","tax_type","課稅別"
"發票物流與售後","invoices","電子發票","total_amount","總金額"
"發票物流與售後","invoices","電子發票","updated_at","更新時間"
"發票物流與售後","invoices","電子發票","user_id","會員 ID"
"旅遊其他","itinerary_plans","AI 行程規劃","created_at","建立時間"
"旅遊其他","itinerary_plans","AI 行程規劃","destination","目的地"
"旅遊其他","itinerary_plans","AI 行程規劃","end_date","結束日期"
"旅遊其他","itinerary_plans","AI 行程規劃","id","資料 ID"
"旅遊其他","itinerary_plans","AI 行程規劃","interests","興趣偏好"
"旅遊其他","itinerary_plans","AI 行程規劃","notes","備註"
"旅遊其他","itinerary_plans","AI 行程規劃","plan_data","行程資料"
"旅遊其他","itinerary_plans","AI 行程規劃","start_date","開始日期"
"旅遊其他","itinerary_plans","AI 行程規劃","status","狀態"
"旅遊其他","itinerary_plans","AI 行程規劃","title","標題"
"旅遊其他","itinerary_plans","AI 行程規劃","updated_at","更新時間"
"旅遊其他","itinerary_plans","AI 行程規劃","user_id","會員 ID"
"AI 與客服","knowledge_base","知識庫","answer","答案"
"AI 與客服","knowledge_base","知識庫","category_id","分類 ID"
"AI 與客服","knowledge_base","知識庫","created_at","建立時間"
"AI 與客服","knowledge_base","知識庫","id","資料 ID"
"AI 與客服","knowledge_base","知識庫","is_active","是否啟用"
"AI 與客服","knowledge_base","知識庫","keywords","關鍵字"
"AI 與客服","knowledge_base","知識庫","priority","優先順序"
"AI 與客服","knowledge_base","知識庫","question","問題"
"AI 與客服","knowledge_base","知識庫","updated_at","更新時間"
"AI 與客服","knowledge_base","知識庫","usage_count","使用次數"
"商品與商城","knowledge_categories","知識庫分類","created_at","建立時間"
"商品與商城","knowledge_categories","知識庫分類","description","描述"
"商品與商城","knowledge_categories","知識庫分類","id","資料 ID"
"商品與商城","knowledge_categories","知識庫分類","is_active","是否啟用"
"商品與商城","knowledge_categories","知識庫分類","name","名稱"
"商品與商城","knowledge_categories","知識庫分類","updated_at","更新時間"
"多語翻譯","languages","語言","code","代碼"
"多語翻譯","languages","語言","created_at","建立時間"
"多語翻譯","languages","語言","id","資料 ID"
"多語翻譯","languages","語言","is_active","是否啟用"
"多語翻譯","languages","語言","is_default","是否預設"
"多語翻譯","languages","語言","name","名稱"
"發票物流與售後","logistics_shipments","物流出貨單","created_at","建立時間"
"發票物流與售後","logistics_shipments","物流出貨單","error_message","錯誤訊息"
"發票物流與售後","logistics_shipments","物流出貨單","ezpay_raw_request","ezPay 原始請求"
"發票物流與售後","logistics_shipments","物流出貨單","ezpay_raw_response","ezPay 原始回應"
"發票物流與售後","logistics_shipments","物流出貨單","id","資料 ID"
"發票物流與售後","logistics_shipments","物流出貨單","lgs_no","物流單號"
"發票物流與售後","logistics_shipments","物流出貨單","logistics_status","物流狀態"
"發票物流與售後","logistics_shipments","物流出貨單","logistics_type","物流類型"
"發票物流與售後","logistics_shipments","物流出貨單","merchant_order_no","商店訂單編號"
"發票物流與售後","logistics_shipments","物流出貨單","order_id","訂單 ID"
"發票物流與售後","logistics_shipments","物流出貨單","recipient_email","收件人 Email"
"發票物流與售後","logistics_shipments","物流出貨單","recipient_name","收件人姓名"
"發票物流與售後","logistics_shipments","物流出貨單","recipient_phone","收件人電話"
"發票物流與售後","logistics_shipments","物流出貨單","ship_type","出貨類型"
"發票物流與售後","logistics_shipments","物流出貨單","store_addr","超商門市地址"
"發票物流與售後","logistics_shipments","物流出貨單","store_id","超商門市代號"
"發票物流與售後","logistics_shipments","物流出貨單","store_name","超商門市名稱"
"發票物流與售後","logistics_shipments","物流出貨單","store_print_no","門市列印編號"
"發票物流與售後","logistics_shipments","物流出貨單","store_tel","超商門市電話"
"發票物流與售後","logistics_shipments","物流出貨單","total_amount","總金額"
"發票物流與售後","logistics_shipments","物流出貨單","trade_type","交易類型"
"發票物流與售後","logistics_shipments","物流出貨單","updated_at","更新時間"
"發票物流與售後","logistics_shipments","物流出貨單","user_id","會員 ID"
"會員","member_favorites","會員收藏","created_at","建立時間"
"會員","member_favorites","會員收藏","id","資料 ID"
"會員","member_favorites","會員收藏","target_id","目標 ID"
"會員","member_favorites","會員收藏","target_type","目標類型"
"會員","member_favorites","會員收藏","user_id","會員 ID"
"會員","member_point_balances","會員點數餘額","current_points","目前點數"
"會員","member_point_balances","會員點數餘額","expiring_points","即將到期點數"
"會員","member_point_balances","會員點數餘額","month_earned","本月獲得點數"
"會員","member_point_balances","會員點數餘額","month_used","本月使用點數"
"會員","member_point_balances","會員點數餘額","updated_at","更新時間"
"會員","member_point_balances","會員點數餘額","user_id","會員 ID"
"會員","member_profiles","會員摘要資料","avatar_url","頭像網址"
"會員","member_profiles","會員摘要資料","created_at","建立時間"
"會員","member_profiles","會員摘要資料","display_name","顯示名稱"
"會員","member_profiles","會員摘要資料","id","資料 ID"
"會員","member_profiles","會員摘要資料","is_active","是否啟用"
"會員","member_profiles","會員摘要資料","order_count","訂單數"
"會員","member_profiles","會員摘要資料","phone","電話"
"會員","member_profiles","會員摘要資料","total_spent","累積消費金額"
"會員","member_profiles","會員摘要資料","updated_at","更新時間"
"會員","members","會員","avatar_url","頭像網址"
"會員","members","會員","created_at","建立時間"
"會員","members","會員","email","電子郵件"
"會員","members","會員","id","資料 ID"
"會員","members","會員","is_active","是否啟用"
"會員","members","會員","name","名稱"
"會員","members","會員","order_count","訂單數"
"會員","members","會員","phone","電話"
"會員","members","會員","total_spent","累積消費金額"
"會員","members","會員","updated_at","更新時間"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","amount","金額"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","card_no","卡號末碼"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","created_at","建立時間"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","id","資料 ID"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","merchant_order_no","商店訂單編號"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","order_id","訂單 ID"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","paid_at","付款時間"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","payer_email","付款人 Email"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","raw_response","原始回應"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","respond_code","回應碼"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","status","狀態"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","trade_info","交易資訊"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","trade_no","交易序號"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","trade_sha","交易 SHA"
"訂單與金流","newebpay_mpg_orders","藍新幕前支付紀錄","updated_at","更新時間"
"訂單與金流","order_events","訂單事件","actor_name","操作者名稱"
"訂單與金流","order_events","訂單事件","actor_type","操作者類型"
"訂單與金流","order_events","訂單事件","created_at","建立時間"
"訂單與金流","order_events","訂單事件","description","描述"
"訂單與金流","order_events","訂單事件","event_type","事件類型"
"訂單與金流","order_events","訂單事件","id","資料 ID"
"訂單與金流","order_events","訂單事件","order_id","訂單 ID"
"訂單與金流","order_items","訂單品項","created_at","建立時間"
"訂單與金流","order_items","訂單品項","id","資料 ID"
"訂單與金流","order_items","訂單品項","order_id","訂單 ID"
"訂單與金流","order_items","訂單品項","price","價格"
"訂單與金流","order_items","訂單品項","product_id","商品 ID"
"訂單與金流","order_items","訂單品項","product_name","商品名稱"
"訂單與金流","order_items","訂單品項","quantity","數量"
"訂單與金流","order_items","訂單品項","total","總金額"
"訂單與金流","order_messages","訂單留言","author_email","作者 Email"
"訂單與金流","order_messages","訂單留言","author_name","作者名稱"
"訂單與金流","order_messages","訂單留言","created_at","建立時間"
"訂單與金流","order_messages","訂單留言","id","資料 ID"
"訂單與金流","order_messages","訂單留言","is_starred","是否標記星號"
"訂單與金流","order_messages","訂單留言","message","訊息內容"
"訂單與金流","order_messages","訂單留言","order_id","訂單 ID"
"訂單與金流","orders","商店訂單","channel","來源通路"
"訂單與金流","orders","商店訂單","communication_notes","溝通備註"
"訂單與金流","orders","商店訂單","company_name","公司名稱"
"訂單與金流","orders","商店訂單","company_tax_id","公司統編"
"訂單與金流","orders","商店訂單","completed_at","完成時間"
"訂單與金流","orders","商店訂單","created_at","建立時間"
"訂單與金流","orders","商店訂單","currency","幣別"
"訂單與金流","orders","商店訂單","customer_account","顧客帳號"
"訂單與金流","orders","商店訂單","customer_email","顧客 Email"
"訂單與金流","orders","商店訂單","customer_name","顧客姓名"
"訂單與金流","orders","商店訂單","customer_phone","顧客電話"
"訂單與金流","orders","商店訂單","delivery_status","配送狀態"
"訂單與金流","orders","商店訂單","discount_code","折扣碼"
"訂單與金流","orders","商店訂單","id","資料 ID"
"訂單與金流","orders","商店訂單","member_id","會員 ID"
"訂單與金流","orders","商店訂單","merchant_order_no","商店訂單編號"
"訂單與金流","orders","商店訂單","newebpay_auth_code","藍新授權碼"
"訂單與金流","orders","商店訂單","newebpay_card_no","藍新卡號末碼"
"訂單與金流","orders","商店訂單","newebpay_paid_at","藍新付款時間"
"訂單與金流","orders","商店訂單","newebpay_payment_type","藍新付款類型"
"訂單與金流","orders","商店訂單","newebpay_respond_code","藍新回應碼"
"訂單與金流","orders","商店訂單","newebpay_status","藍新狀態"
"訂單與金流","orders","商店訂單","newebpay_trade_no","藍新交易序號"
"訂單與金流","orders","商店訂單","notes","備註"
"訂單與金流","orders","商店訂單","order_number","訂單編號"
"訂單與金流","orders","商店訂單","payment_method","付款方式"
"訂單與金流","orders","商店訂單","payment_status","付款狀態"
"訂單與金流","orders","商店訂單","points_discount","點數折抵金額"
"訂單與金流","orders","商店訂單","recipient_name","收件人姓名"
"訂單與金流","orders","商店訂單","recipient_phone","收件人電話"
"訂單與金流","orders","商店訂單","recurring_cycle_no","訂閱扣款期次"
"訂單與金流","orders","商店訂單","shipping","運費"
"訂單與金流","orders","商店訂單","shipping_address","配送地址"
"訂單與金流","orders","商店訂單","shipping_city","配送縣市"
"訂單與金流","orders","商店訂單","shipping_country","配送國家"
"訂單與金流","orders","商店訂單","shipping_district","配送行政區"
"訂單與金流","orders","商店訂單","shipping_line1","配送地址第一行"
"訂單與金流","orders","商店訂單","shipping_method","配送方式"
"訂單與金流","orders","商店訂單","shipping_notes","配送備註"
"訂單與金流","orders","商店訂單","shipping_postal_code","配送郵遞區號"
"訂單與金流","orders","商店訂單","shipping_status","物流狀態"
